symbol,name,sector,industry,annualized_return,volatility,total_return,years,market_cap,outperformed_market,return_vs_market,volatility_vs_market,risk_adjusted_return,market_risk_adjusted,early_boom_candidate,hindsight_trap_score
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,0.23441705781114486,0.2525664937936675,21.514349860133297,14.787132101300479,525988102144.0,True,0.0814930219414427,0.07668435577681287,0.9281399693605055,0.8694688249414364,False,1.0722927046280966
INTU,Intuit Inc.,Technology,Software - Application,0.23400919057032077,0.29072409464109444,21.404598139405763,14.787132101300479,171900272640.0,True,0.08108515470061861,0.1148419566242398,0.8049184600925853,0.8694688249414364,False,1.3365953566421667
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,0.23352075654266424,0.2249639875767893,21.27382335309359,14.787132101300479,147105595392.0,True,0.08059672067296209,0.04908184955993464,1.0380361721804658,0.8694688249414364,False,1.1056924562888497
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,0.23351293603838852,0.2474412400621627,21.2717352687408,14.787132101300479,97966915584.0,True,0.08058890016868636,0.07155910204530805,0.9437106602752432,0.8694688249414364,False,1.2249898058451185
TT,Trane Technologies plc,Industrials,Building Products & Equipment,0.23197517821985647,0.27507726485418216,20.864679626190842,14.787132101300479,90841202688.0,True,0.07905114235015431,0.09919512683732751,0.8433091638555662,0.8694688249414364,False,1.300838192705756
MA,Mastercard Incorporated,Financial Services,Credit Services,0.2314883363204463,0.27432205791600545,20.737261749874797,14.787132101300479,477012983808.0,True,0.07856430045074414,0.0984399198991508,0.8438560795257872,0.8694688249414364,False,1.119928764618111
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,0.2302995919386528,0.2865596759204982,20.429042814538334,14.787132101300479,88940748800.0,True,0.07737555606895063,0.11067753790364354,0.8036706183411028,0.8694688249414364,False,1.328369367718881
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,0.2295277107578051,0.3035870905314611,20.23109580399311,14.787132101300479,47790559232.0,True,0.07660367488810294,0.12770495251460645,0.7560522759910269,0.8694688249414364,False,1.5592036160307194
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,0.22846477204587345,0.20241605867235202,19.961297080438218,14.787132101300479,394140876800.0,True,0.0755407361761713,0.026533920655497367,1.1286889664010606,0.8694688249414364,False,0.9592807218674558
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,0.22693989913577473,0.23230090517534469,19.579826882394325,14.787132101300479,412216590336.0,True,0.07401586326607257,0.056418767158490035,0.9769221474383692,0.8694688249414364,False,1.1220298152891959
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,0.22638408379390396,0.3598011804803586,19.44239826569584,14.787132101300479,63395237888.0,True,0.0734600479242018,0.18391904246350393,0.6291921652165401,0.8694688249414364,True,1.6778699021848538
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,0.22526360768249187,0.2539372721597661,19.16795117055204,14.787132101300479,164262395904.0,True,0.07233957181278972,0.07805513414291143,0.8870836713594608,0.8694688249414364,False,1.1411860792623088
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,0.22513166662077366,0.23310253682315335,19.135860867805373,14.787132101300479,53859717120.0,True,0.0722076307510715,0.0572203988062987,0.9658053047769836,0.8694688249414364,False,1.4431224640930354
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,0.22369850097643296,0.38619320492095466,18.7903442687193,14.787132101300479,17381556224.0,True,0.0707744651067308,0.2103110669041,0.5792398678330427,0.8694688249414364,True,2.567787352947143
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,0.22216502623261092,0.330386508024872,18.426771270717932,14.787132101300479,145858625536.0,True,0.06924099036290876,0.15450437000801737,0.6724397662627494,0.8694688249414364,False,1.4243347706592493
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,0.22080897902395735,0.20371542059761288,18.11046285347433,14.787132101300479,63374675968.0,True,0.0678849431542552,0.027833282580758234,1.08390900588772,0.8694688249414364,False,1.2120571702150664
LULU,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,0.2197623620491067,0.40713333942814073,17.869621890808823,14.787132101300479,35805458432.0,True,0.06683832617940455,0.23125120141128608,0.5397798233811675,0.8694688249414364,True,2.015617802022648
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,0.219291732385533,0.25041230870632797,17.76224855415575,14.787132101300479,25186998272.0,True,0.06636769651583085,0.07453017068947332,0.8757226572384996,0.8694688249414364,False,1.7937581242954037
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,0.21927040766274497,0.3076958698933572,17.757396873099353,14.787132101300479,32477997056.0,True,0.06634637179304281,0.13181373187650253,0.7126205747862031,0.8694688249414364,False,1.7457344838314148
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,0.21866460898509144,0.24732861453122962,17.620056598196527,14.787132101300479,79282839552.0,True,0.06574057311538928,0.07144647651437497,0.8841055831713365,0.8694688249414364,False,1.343715683678097
MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans,0.21715871974258905,0.39421612682110874,17.282708655617164,14.787132101300479,16977592320.0,True,0.06423468387288689,0.2183339888042541,0.5508620905332304,0.8694688249414364,True,2.500582398207124
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,0.2162281335009395,0.3276240112741841,17.077097641366336,14.787132101300479,51368398848.0,True,0.06330409763123734,0.15174187325732946,0.659988664017611,0.8694688249414364,False,1.558630767273625
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,0.21572130108152687,0.2782882836784875,16.966023026570088,14.787132101300479,198160809984.0,True,0.06279726521182472,0.10240614566163286,0.775172056221937,0.8694688249414364,False,1.1570183921677737
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,0.2154664183737336,0.2560915011125548,16.910405114208555,14.787132101300479,3108199989248.0,True,0.06254238250403144,0.08020936309570015,0.8413649708704465,0.8694688249414364,False,1.1115437974801636
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,0.21196837082619102,0.3494724809301058,16.16313727002812,14.787132101300479,260436983808.0,True,0.059044334956488864,0.17359034291325115,0.6065380892425247,0.8694688249414364,False,1.3874126085312122
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,0.21116807189002662,0.285375212435944,15.996310505445656,14.787132101300479,43856896000.0,True,0.05824403602032446,0.10949307441908934,0.7399664115446815,0.8694688249414364,False,1.5193040019731319
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,0.21083948467658442,0.2894999165724816,15.928253503553847,14.787132101300479,37674704896.0,True,0.057915448806882264,0.11361777855562694,0.7282885852707902,0.8694688249414364,False,1.6028715407837595
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,0.21065195152958793,0.39363250013656514,15.889525603319466,14.787132101300479,30929375232.0,True,0.057727915659885776,0.2177503621197105,0.5351487782551118,0.8694688249414364,True,2.055101503765926
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,0.20969587256480637,0.36604137499727823,15.693364414814074,14.787132101300479,153635930112.0,True,0.056771836695104216,0.19015923698042358,0.5728747810718545,0.8694688249414364,True,1.4740202013975638
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,0.20950836291316643,0.27465999847757216,15.655142604582434,14.787132101300479,21277902848.0,True,0.05658432704346428,0.09877786046071751,0.7627916845352862,0.8694688249414364,False,1.975592606088779
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,0.20900966944311028,0.3737634804988285,15.55388605188299,14.787132101300479,50825191424.0,True,0.05608563357340812,0.19788134248197387,0.5592030263742297,0.8694688249414364,True,1.7535638053597842
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,0.2088036408625733,0.3098092025300568,15.512221041135657,14.787132101300479,52940894208.0,True,0.055879604992871146,0.13392706451320213,0.6739749470234532,0.8694688249414364,False,1.4919857348091405
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,0.20766767652979956,0.2908001911005372,15.284246104168428,14.787132101300479,49731121152.0,True,0.054743640660097403,0.11491805308368253,0.7141249658188961,0.8694688249414364,False,1.5709088666356292
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,0.20663414841317662,0.5592508667635884,15.079381885319776,14.787132101300479,252434333696.0,True,0.053710112543474464,0.3833687287467337,0.36948382325981605,0.8694688249414364,True,1.8564712207203815
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,0.2063670004650624,0.24552108665856387,15.026820498000898,14.787132101300479,24283502592.0,True,0.05344296459536024,0.06963894864170922,0.840526584798187,0.8694688249414364,False,1.8868229955538918
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,0.20605516350414566,0.2819570216616543,14.965669190930841,14.787132101300479,138610458624.0,True,0.0531311276344435,0.10607488364479967,0.730803447595676,0.8694688249414364,False,1.1897605210099613
FI,"Fiserv, Inc.",Technology,Information Technology Services,0.20605278026512308,0.23349935471664598,14.965202675952623,14.787132101300479,113584783360.0,True,0.053128744395420924,0.057617216699791335,0.8824554590961092,0.8694688249414364,False,1.2113416509424193
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,0.2057248109189007,0.2753636128440259,14.901124317613965,14.787132101300479,159772688384.0,True,0.052800775049198556,0.09948147482717123,0.7471023814443826,0.8694688249414364,False,1.2550059707745738
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,0.20566739731732153,0.24963920976630602,14.889931592817597,14.787132101300479,132761567232.0,True,0.052743361447619375,0.07375707174945137,0.8238585497440579,0.8694688249414364,False,1.2218577757447686
PODD,Insulet Corporation,Healthcare,Medical Devices,0.20490078973252923,0.4108026480018416,14.741184334081195,14.787132101300479,16588626944.0,True,0.051976753862827074,0.23492050998498692,0.498781570004901,0.8694688249414364,True,2.5418791563322065
CRM,"Salesforce, Inc.",Technology,Software - Application,0.20484587580773783,0.3621538070043602,14.73057920125267,14.787132101300479,280050630656.0,True,0.051921839938035674,0.18627166898750552,0.5656322585759027,0.8694688249414364,True,1.3969021529942516
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,0.2020022946957214,0.31897702802267486,14.19043388515672,14.787132101300479,185622691840.0,True,0.04907825882601924,0.1430948900058202,0.633281637702643,0.8694688249414364,False,1.2294587225238194
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,0.20131414047094753,0.3251364389709943,14.062342056928433,14.787132101300479,46301396992.0,True,0.048390104601245376,0.14925430095413966,0.6191681901544936,0.8694688249414364,False,1.5663237343864576
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,0.20059635703589151,0.3514624616727336,13.929808650743364,14.787132101300479,27216193536.0,True,0.04767232116618936,0.17558032365587894,0.5707476015537558,0.8694688249414364,True,2.0276917917101724
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,0.20035523032919555,0.26621232761322033,13.885530924948048,14.787132101300479,55026565120.0,True,0.0474311944594934,0.09033018959636568,0.7526143966566848,0.8694688249414364,False,1.3619428098683553
V,Visa Inc.,Financial Services,Credit Services,0.1991215094662766,0.25074248004166155,13.660894112177239,14.787132101300479,565511651328.0,True,0.046197473596574445,0.0748603420248069,0.7941275424618598,0.8694688249414364,False,0.9962456346473872
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,0.19900613676856316,0.30069730343372236,13.64004938397778,14.787132101300479,82405416960.0,True,0.046082100898861,0.12481516541686771,0.6618155018221729,0.8694688249414364,False,1.3169653600600284
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,0.19738580215461554,0.2805232312664387,13.35020265868873,14.787132101300479,36889935872.0,True,0.044461766284913384,0.10464109324958404,0.7036344236571983,0.8694688249414364,False,1.567356561936414
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,0.19567650377160817,0.19811410523292747,13.050247061501842,14.787132101300479,110477901824.0,True,0.04275246790190601,0.022231967216072818,0.9876959721850529,0.8694688249414364,False,1.0154627456126621
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,0.19561228354907323,0.22930243533228525,13.03909217304972,14.787132101300479,77625376768.0,True,0.04268824767937107,0.053420297315430604,0.8530754732962553,0.8694688249414364,False,1.162882853525941
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,0.1950042756679975,0.21769228106546157,12.933891144457485,14.787132101300479,30348916736.0,True,0.04208023979829534,0.04181014304860692,0.8957794677587047,0.8694688249414364,False,1.5366400943183285
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,0.19495652772118577,0.28853833539741486,12.925660724616394,14.787132101300479,30543235072.0,True,0.04203249185148361,0.11265619738056021,0.6756694130527394,0.8694688249414364,False,1.7934754621670623
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,0.19310916270156175,0.2522190356453167,12.610684450865694,14.787132101300479,43053772800.0,True,0.0401851268318596,0.07633689762846207,0.7656407146569291,0.8694688249414364,False,1.4169780806338674
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,0.19290139337036338,0.23691677624943774,12.57567833685762,14.787132101300479,40813572096.0,True,0.039977357500661226,0.061034638232583094,0.8142158458515711,0.8694688249414364,False,1.407267025511198
DFS,Discover Financial Services,Financial Services,Credit Services,0.19168140700849223,0.3526923187645118,12.371816156074868,14.787132101300479,37329383424.0,True,0.038757371138790075,0.17681018074765714,0.5434805262557347,0.8694688249414364,True,1.7139141676971414
